year,median,mean,count,p25,p75
2006,328.0,393.9779724550394,23743,148.0,552.0
2007,418.0,497.76879671911814,34381,206.0,730.0
2008,704.0,762.3260365853658,16400,468.0,1034.0
2009,1005.0,1056.7280094700418,21964,851.0,1317.0
2010,1316.0,1280.2150296638101,22755,1085.0,1580.0
2011,1639.0,1575.4304995617879,17115,1456.0,1862.0
2012,1968.0,1778.5871398128418,21586,1444.0,2193.0
2013,2275.0,2145.5723076923077,11375,2088.0,2419.0
2014,2421.0,2117.8338848444737,3022,1246.25,2995.0
2015,2370.0,2259.707264957265,1872,1118.75,3338.0
2016,2870.0,2486.182461103253,3535,1234.0,3678.0
2017,2839.0,2621.148677936714,2307,1263.0,3877.0
2018,3316.0,2976.562038900067,1491,1745.0,4220.0
2019,3862.0,3481.235325224749,3782,2090.0,4919.0
2020,3723.0,3471.6888957816377,3224,1727.0,5227.0
2021,3308.0,3120.5014285714287,4900,739.0,5398.0
2022,2609.0,2935.0070077084793,8562,354.0,5406.0
2023,2775.0,3307.0021721815942,13811,1042.0,5750.0
2024,4101.5,3995.1753306392357,10888,1563.0,6452.25
2025,3905.0,4161.6244140625,5120,1915.75,6662.25
2026,2648.0,3507.3470648815655,4855,1104.0,6673.0
