statement_id,wiki,page_id,revid,language,section,segment_type,deontic_type,salience,governance_class,statement_orig,statement_en,provenance
nlwiki:75512:v2:1,nlwiki,75512,71301286,nl,intro,rule,principle,context,user-admin,Wikipedia kent een democratische traditie.,Wikipedia has a democratic tradition.,NEW
nlwiki:75512:v2:2,nlwiki,75512,71301286,nl,intro,rule,principle,context,user-admin,In principe is niemand de baas op Wikipedia.,In principle no one is in charge on Wikipedia.,NEW
nlwiki:75512:v2:3,nlwiki,75512,71301286,nl,intro,rule,principle,context,user-admin,Er wordt zo veel mogelijk naar consensus gezocht.,Consensus is sought as much as possible.,NEW
nlwiki:75512:v2:4,nlwiki,75512,71301286,nl,intro,rule,recommendation,core,user-admin,Het zoeken naar consensus verdient steeds de voorkeur boven stemmen.,Seeking consensus is always preferred over voting.,v1:1
nlwiki:75512:v2:5,nlwiki,75512,71301286,nl,intro,rule,condition,core,user-admin,Een stemming is alleen zinnig wanneer er geen consensus lijkt te ontstaan.,A vote is only sensible when no consensus seems to emerge.,v1:2
nlwiki:75512:v2:6,nlwiki,75512,71301286,nl,Art.1,rule,permission,context,user-admin,In principe mag iedereen op ieder moment om elke reden een stemming houden.,In principle anyone may hold a vote at any time for any reason.,NEW
nlwiki:75512:v2:7,nlwiki,75512,71301286,nl,Art.1,rule,condition,supporting,user-admin,"Er zijn beperkingen aan een stemming, zowel qua inhoud als qua vorm.","There are limits to a vote, in both content and form.",NEW
nlwiki:75512:v2:8,nlwiki,75512,71301286,nl,Art.1,rule,recommendation,core,user-admin,Niet voor ieder wissewasje moet gestemd worden.,Not every trivial matter should be put to a vote.,NEW
nlwiki:75512:v2:9,nlwiki,75512,71301286,nl,Art.1,rule,recommendation,supporting,user-admin,Voorbereiding voorafgaand aan een stemming is in veel gevallen verstandig.,Preparation before a vote is advisable in many cases.,NEW
nlwiki:75512:v2:10,nlwiki,75512,71301286,nl,Art.2,procedure,recommendation,core,user-admin,Als overleg vastloopt is een niet-bindende opiniepeiling op de relevante overlegpagina de aangewezen eerste stap.,"If discussion stalls, a non-binding opinion poll on the relevant talk page is the appropriate first step.",v1:3
nlwiki:75512:v2:11,nlwiki,75512,71301286,nl,Art.2,procedure,procedure,supporting,user-admin,"Werkt de peiling niet, dan is de volgende stap een stemming in het Stemlokaal.","If the poll does not work, the next step is a vote in the Stemlokaal.",NEW
nlwiki:75512:v2:12,nlwiki,75512,71301286,nl,Art.2,procedure,procedure,core,user-admin,Een stemming wordt voorbereid via een Stemvoorstel in het Stemlokaal waarover later wordt gestemd.,A vote is prepared via a Stemvoorstel in the Stemlokaal to be voted on later.,v1:4
nlwiki:75512:v2:13,nlwiki,75512,71301286,nl,Art.2,procedure,definition,core,user-admin,Wie een stemming initieert is daarmee de stemcoordinator.,Whoever initiates a vote thereby becomes the vote coordinator.,v1:5
nlwiki:75512:v2:14,nlwiki,75512,71301286,nl,Art.2,procedure,definition,context,user-admin,De stemcoordinator is een corvee-functie zonder privileges.,The coordinator role is a chore-function without privileges.,NEW(qualifier)
nlwiki:75512:v2:15,nlwiki,75512,71301286,nl,Art.2,procedure,recommendation,supporting,user-admin,De keuzemogelijkheden zijn bij voorkeur eenvoudig.,Choice options should preferably be simple.,v1:6a
nlwiki:75512:v2:16,nlwiki,75512,71301286,nl,Art.2,procedure,recommendation,supporting,user-admin,De keuzemogelijkheden hebben bij voorkeur een ja/nee-karakter.,Choice options should preferably have a yes/no character.,v1:6b
nlwiki:75512:v2:17,nlwiki,75512,71301286,nl,Art.2,procedure,prohibition,core,user-admin,Zodra de stemming is begonnen mogen er geen nieuwe keuzemogelijkheden meer worden toegevoegd.,"Once the vote has begun, no new choice options may be added.",v1:7
nlwiki:75512:v2:18,nlwiki,75512,71301286,nl,Art.2,procedure,obligation,core,user-admin,Het stemvoorstel wordt vooraf aangekondigd in de Mededelingen.,The proposal is announced in advance in the Mededelingen.,v1:8a
nlwiki:75512:v2:19,nlwiki,75512,71301286,nl,Art.2,procedure,obligation,core,user-admin,Het stemvoorstel wordt vooraf aangekondigd in De kroeg.,The proposal is announced in advance in De kroeg.,v1:8b
nlwiki:75512:v2:20,nlwiki,75512,71301286,nl,Art.2,procedure,procedure,supporting,user-admin,De voorbereidingstijd is normaal een week.,Preparation time is normally one week.,v1:9a
nlwiki:75512:v2:21,nlwiki,75512,71301286,nl,Art.2,procedure,condition,supporting,user-admin,"Bij spoedeisende zaken mag de voorbereidingstijd korter zijn, met een minimum van een etmaal.","For urgent matters preparation time may be shorter, minimum 24 hours.",v1:9b
nlwiki:75512:v2:22,nlwiki,75512,71301286,nl,Art.2,procedure,obligation,supporting,user-admin,"Gaat de stemming over specifieke gebruikers, dan wordt een noindex-sjabloon bovenaan de stempagina geplaatst.","If a vote concerns specific users, a noindex template is placed atop the vote page.",v1:10a
nlwiki:75512:v2:23,nlwiki,75512,71301286,nl,Art.2,procedure,obligation,supporting,user-admin,...en ook bovenaan de bijbehorende overlegpagina.,...and atop the associated talk page.,v1:10b
nlwiki:75512:v2:24,nlwiki,75512,71301286,nl,Art.3,rule,eligibility,core,user-admin,Een gebruiker met bewerkingsrechten op de stempagina is stemgerechtigd als hij aan de twee voorwaarden voldoet.,A user with edit rights on the vote page is eligible to vote if they meet the two conditions.,v1:11
nlwiki:75512:v2:25,nlwiki,75512,71301286,nl,Art.3,rule,eligibility,core,user-admin,Een gebruiker is stemgerechtigd als zijn eerste bewerking als aangemelde gebruiker minstens twee weken voor de stemming is gedaan.,A user is eligible only if their first registered edit was ≥2 weeks before the vote.,v1:12
nlwiki:75512:v2:26,nlwiki,75512,71301286,nl,Art.3,rule,eligibility,core,user-admin,Een gebruiker is stemgerechtigd als hij meer dan 100 niet-vandalistische bewerkingen heeft gedaan voor het stemvoorstel werd geplaatst.,A user is eligible only if they made >100 non-vandalism edits before the proposal was posted.,v1:13
nlwiki:75512:v2:27,nlwiki,75512,71301286,nl,Art.3,rule,condition,supporting,user-admin,Vandalistische bewerkingen tellen niet mee voor de 100 bewerkingen.,Vandalism edits do not count toward the 100-edit threshold.,NEW(qualifier)
nlwiki:75512:v2:28,nlwiki,75512,71301286,nl,Art.4,procedure,procedure,core,user-admin,Een stemming duurt minimaal twee weken.,A vote lasts at least two weeks.,v1:14
nlwiki:75512:v2:29,nlwiki,75512,71301286,nl,Art.4,procedure,permission,context,user-admin,Rondom vakantieperiodes mag een stemming langer duren.,Around holiday periods a vote may last longer.,NEW(qualifier)
nlwiki:75512:v2:30,nlwiki,75512,71301286,nl,Art.4,procedure,procedure,supporting,user-admin,Stemmen gebeurt door een ondertekende stem bij voor of tegen te plaatsen.,Voting is done by placing a signed vote under 'voor' or 'tegen'.,v1:15
nlwiki:75512:v2:31,nlwiki,75512,71301286,nl,Art.4,procedure,permission,supporting,user-admin,"Een gebruiker mag tijdens de stemperiode van stem wisselen, zo vaak als hij wil.","A user may change their vote during the period, as often as they wish.",v1:16
nlwiki:75512:v2:32,nlwiki,75512,71301286,nl,Art.4,procedure,permission,supporting,user-admin,Wie niet voor of tegen wil stemmen kan 'neutraal' aangeven.,A user who does not want to vote for/against may indicate 'neutral'.,NEW
nlwiki:75512:v2:33,nlwiki,75512,71301286,nl,Art.4,rule,condition,core,user-admin,Een neutrale stem telt niet mee voor de uitslag.,A neutral vote does not count toward the result.,v1:17
nlwiki:75512:v2:34,nlwiki,75512,71301286,nl,Art.5,rule,condition,core,user-admin,Een voorstel wordt alleen aangenomen als het minstens 20 geldige stemmen heeft.,A proposal is accepted only if it has ≥20 valid votes.,v1:18
nlwiki:75512:v2:35,nlwiki,75512,71301286,nl,Art.5,rule,procedure,supporting,user-admin,Het minimum aantal stemmen wordt vóór het begin van de stemming bekendgemaakt.,The minimum number of votes is announced before the vote begins.,NEW
nlwiki:75512:v2:36,nlwiki,75512,71301286,nl,Art.5,rule,condition,core,user-admin,Een voorstel wordt alleen aangenomen als het minimaal 55% van de geldige stemmen behaalt.,A proposal is accepted only if it reaches ≥55% of valid votes.,v1:19
nlwiki:75512:v2:37,nlwiki,75512,71301286,nl,Art.6,procedure,obligation,core,user-admin,De stemcoordinator vat na afloop de uitslag samen in het stemlokaal.,"After the vote, the coordinator summarizes the result in the Stemlokaal.",v1:20
nlwiki:75512:v2:38,nlwiki,75512,71301286,nl,Art.6,procedure,procedure,supporting,user-admin,De gemeenschap heeft daarna een week om problemen rond de stemming te bespreken.,The community then has one week to discuss problems with the vote.,v1:21
nlwiki:75512:v2:39,nlwiki,75512,71301286,nl,Art.6,rule,condition,core,user-admin,Als er geen problemen blijken te zijn wordt de uitslag als bindend beschouwd.,"If no problems appear, the result is considered binding.",v1:22
nlwiki:75512:v2:40,nlwiki,75512,71301286,nl,Art.6,procedure,obligation,supporting,user-admin,"De stemcoordinator plaatst een samenvatting (permalink, stelling, uitslag) op Wikipedia:Archief peilingen en stemmingen.","The coordinator places a summary (permalink, statement, result) on the archive page.",v1:23a
nlwiki:75512:v2:41,nlwiki,75512,71301286,nl,Art.6,procedure,obligation,supporting,user-admin,De stemcoordinator voegt de stempagina toe aan de categorie Archief stemmingen.,The coordinator adds the vote page to the archive category.,NEW(split)
nlwiki:75512:v2:42,nlwiki,75512,71301286,nl,Art.6,rule,prohibition,core,user-admin,Over hetzelfde onderwerp mag niet binnen 6 maanden opnieuw worden gestemd.,The same topic may not be voted on again within 6 months.,v1:24a
nlwiki:75512:v2:43,nlwiki,75512,71301286,nl,Art.6,rule,condition,supporting,user-admin,Uitzondering: tenzij software of wetgeving nieuwe mogelijkheden biedt die de uitslag zouden beinvloeden.,Exception: unless software or legislation offers new possibilities affecting the outcome.,v1:24b(exception)
