statement_id,atomicity,declarative,concreteness,scope,faithfulness,translation_fidelity,source_grounding,overall,flag_reason
nlwiki:75512:1,pass,pass,weak,pass,pass,pass,pass,ok,soft principle; low-signal but faithful
nlwiki:75512:2,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:3,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:4,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:5,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:6,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:7,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:8,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:9,weak,pass,pass,pass,pass,pass,pass,revise,two thresholds (week / 24h) — could split
nlwiki:75512:10,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:11,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:12,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:13,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:14,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:15,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:16,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:17,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:18,pass,pass,pass,pass,pass,pass,pass,ok,joint acceptance condition with :19 (both required)
nlwiki:75512:19,pass,pass,pass,pass,pass,pass,pass,ok,joint acceptance condition with :18 (both required)
nlwiki:75512:20,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:21,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:22,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:23,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:75512:24,pass,pass,pass,pass,pass,pass,pass,ok,
