year,mean_change,n,total_words
2002,0.12360000000000004,1,651
2003,0.017199999999999993,1,638
2004,0.12320000000000003,2,1571
2005,0.043866666666666686,3,3367
2006,0.23623333333333338,6,6571
2007,0.07644285714285713,7,8705
2008,0.02692857142857143,7,11665
2009,0.0367857142857143,7,13071
2010,0.01839999999999999,7,14743
2011,0.005899999999999992,9,17449
2012,0.01116666666666667,9,18891
2013,0.0023999999999999946,9,19775
2014,0.002988888888888893,9,19881
2015,0.0011444444444444295,9,20350
2016,0.0020111111111111115,9,21040
2017,0.0033444444444444337,9,20800
2018,0.0006555555555555451,9,21038
2019,0.0009444444444444268,9,20943
2020,0.0011888888888888813,9,20924
2021,0.001133333333333332,9,21196
2022,0.0031999999999999928,9,21166
2023,0.0003555555555555534,9,21223
2024,0.0010555555555555503,9,21482
2025,0.001388888888888884,9,21858
2026,0.003133333333333309,9,21657
